Jour,JANVIER,FEVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOUT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DECEMBRE
1,3,2,12.5,1,,7,3,2,,5,,
2,6.5,7,8,,2,3.5,,24.5,,4.5,,
3,27,6,5.5,7,,,1,17,10,1.5,,
4,3,9,22,8,,1,,,11,,1,
5,8,1,7.5,1,,4,,,,,2,
6,7,5,7,1,,,,,,,,
7,12.5,6,6,4,,5,,,,,1,
8,1,16,,,,2,,,,,2,
9,6.5,26,,1.5,4,,,,,,15.5,
10,5,8,,,5,,,4,,,6.5,2
11,18,5,,,24,8,,3,,,1,
12,11,1,,1.5,18,10,6,,,,4,
13,2,11.5,,13,,15,7,,,,1,1
14,11,1,,2,,12.5,1.5,,,11,2,
15,7,,,6,3,9,,,2,,6,
16,8,,,2,,14,,,1,,7,
17,,,,,,10,,,1,1,13,1
18,,1,,,6,2,,,,4,2,
19,,5,,,1.5,,,3.5,,4.5,2,
20,,24,,,,15,,1.5,,2,8,
21,,3.5,,8,,2,,3,,,12,7
22,5,17,,7.5,20,,,,,,2,12
23,1,2,,2,1,1,23,,,1,,5
24,1,,4,5,,,,,,7,,
25,,,7.5,17,,3,0.5,,,1,,
26,2,,5,1,,1,,,,,,7
27,10,,5,3,5.5,3.5,,4,,,,
28,1,,13,,24,1,6,,,,,
29,1.5,,2,11.5,4,1,3.5,,,,,
30,21,,3.5,1,35,7,,,4,,,
31,14.5,,30,,6,,5,,,,,
